


1,PA2215,12.5,17.75,15.0,15.04
2,PA2215,19.5,19.75,18.0,18.54
3,PA2215,17.5,19.25,18.0,18.12
4,PA2215,18.5,18.75,19.0,18.88
1,PA2875,10,11.5,12.0,11.58
2,PA2875,10,10,18.0,15.33
3,PA2875,11.75,15.25,14.0,13.83
4,PA2875,18.5,18.75,19.0,18.88
1,PA2215,12.5,17.75,15.0,15.04
2,PA2215,19.5,19.75,18.0,18.54
3,PA2215,17.5,19.25,18.0,18.12
4,PA2215,18.5,18.75,19.0,18.88
1,PA2875,10,11.5,12.0,11.58
2,PA2875,10,10,18.0,15.33
3,PA2875,11.75,15.25,14.0,13.83
4,PA2875,18.5,18.75,19.0,18.88
1,PA2215,12.5,17.75,15.0,15.04
2,PA2215,19.5,19.75,18.0,18.54
3,PA2215,17.5,19.25,18.0,18.12
4,PA2215,18.5,18.75,19.0,18.88
1,PA2875,10,11.5,12.0,11.58
2,PA2875,10,10,18.0,15.33
3,PA2875,11.75,15.25,14.0,13.83
4,PA2875,18.5,18.75,19.0,18.88
